,Age,Industry,Job title,Annual Salary(USDA),Working In,City,Years of Experience,Present Field Experience,Education,Gender,Race
0,25-34,Education (Higher Education),Research and Instruction Librarian,55000,United states,Boston,5-7 years,5-7 years,Master's degree,Woman,White
1,25-34,Computing or Tech,Change & Internal Communications Manager,71799,United kingdom,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White
2,25-34,"Accounting, Banking & Finance",Marketing Specialist,34000,United states,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
3,25-34,Nonprofits,Program Manager,62000,United states,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
4,25-34,"Accounting, Banking & Finance",Accounting Manager,60000,United states,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
5,25-34,Education (Higher Education),Scholarly Publishing Librarian,62000,United states,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
6,25-34,Publishing,Publishing Assistant,33000,United states,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
7,25-34,Education (Primary/Secondary),Librarian,50000,United states,Yuma,5-7 years,5-7 years,Master's degree,Man,White
8,45-54,Computing or Tech,Systems Analyst,112000,United states,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
9,35-44,"Accounting, Banking & Finance",Senior Accountant,45000,United states,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
10,25-34,Nonprofits,Office Manager,47500,United states,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White
11,35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,United states,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
12,35-44,"Accounting, Banking & Finance",Manager of Information Services,100000,United states,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White"
13,18-24,Health care,Patient care coordinator,23840,United kingdom,Remote,1 year or less,1 year or less,College degree,Woman,White
14,35-44,Utilities & Telecommunications,Quality And Compliance Specialist,31560,United kingdom,Lincoln,11 - 20 years,5-7 years,College degree,Man,White
15,35-44,Business or Consulting,Executive Assistant,85000,United states,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White
16,45-54,Art & Design,graphic designer,59000,United states,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
17,35-44,Business or Consulting,Senior Manager,98000,United states,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
18,35-44,Education (Higher Education),Assistant Director of Academic Advising,54000,United states,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
19,25-34,Health care,Data Programmer Analyst,74000,United states,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White
20,35-44,Nonprofits,Program Coordinator & Assistant Editor ,50000,United states,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White
21,35-44,Nonprofits,Event Planner,46935,United kingdom,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White
22,35-44,Government and Public Administration,Researcher,96000,United states,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
23,35-44,Education (Higher Education),Communications Specialist,60000,United states,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
24,25-34,Nonprofits,Program Director,62000,United states,Washington DC,5-7 years,2 - 4 years,College degree,Man,White
25,35-44,Law,Bookkeeper/Billing Manager,48000,United states,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
26,35-44,Government and Public Administration,Economist,140000,United states,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27,25-34,Engineering or Manufacturing,Research Engineer,80000,United states,San Antonio,5-7 years,5-7 years,College degree,Woman,White
